date,monthid,yearid,weekid,h1_pos,sh3_pos,b_pos,pos_index,RSV_org,Adenovirus,paraflu12,paraflu34,RSV,temp.max,temp.mean,temp.min,relative.humidity,total.rainfall,solar.radiation,wind.speed,absolute.humidity,pressure,temp.range
2014-06-01,6,2014,22,0.00291120815138282,0.0388161086851043,0.0262008733624454,3.387572364647543,0.0504609412906356,1.5486045095531655,0.5807266910824365,1.6695892368620056,2.5164823280238897,33.2,29.742857142857105,28.4,77.28571428571429,0.8642857142857142,23.895714285714302,19.5571428571429,23.1314803893997,1007.88571428571,4.357142857142859
2014-06-08,6,2014,23,0.0056285178236397705,0.0553470919324578,0.0375234521575985,5.569374028645309,0.0534709193245779,1.4321247502230798,0.2121666296626784,2.0155829817954465,3.0233744726931695,32.7,29.071428571428598,28.4,79.1428571428571,11.807142857142901,15.968571428571401,13.5857142857143,22.8204178659031,1003.4571428571401,4.08571428571429
2014-06-15,6,2014,24,0.00549702244617499,0.0874942739349519,0.0293174530462666,5.67411724147702,0.054512139257902,1.5513504068457746,0.4037761332886269,1.1900770244296335,2.52891367691298,33.5,28.557142857142896,27.8,71.8571428571429,1.44285714285714,17.1957142857143,24.957142857142898,20.093845174650898,1002.15714285714,4.64285714285714
2014-06-22,6,2014,25,0.00244140625,0.0791015625,0.029296875,5.395854462474644,0.04345703125,1.3073656186612574,0.28524340770791073,0.831959939148073,2.1155552738336714,32.6,29.1142857142857,29.2,84.1428571428571,30.442857142857104,12.23,21.842857142857103,24.2905009828014,1003.6,4.28571428571429
2014-06-29,6,2014,26,0.0010958904109589,0.0783561643835616,0.0186301369863014,4.089326663394835,0.0367123287671233,1.7590958272704043,0.3883718060207389,1.3707240212496647,1.5306418237287938,33.7,29.085714285714303,28.5,84.28571428571429,18.0571428571429,16.562857142857098,13.628571428571401,24.273776780084802,1005.07142857143,4.58571428571429
2014-07-06,7,2014,27,0.00160685591858597,0.0915907873594001,0.00749866095340118,3.2482678784318435,0.0417782538832351,1.4513537329163564,0.10366812377973957,0.863901031497828,1.3476856091366145,33.8,30.1142857142857,29.3,80.28571428571429,4.46428571428571,19.8742857142857,17.5,24.483135162288104,1005.74285714286,4.85714285714286
2014-07-13,7,2014,28,0.00102827763496144,0.0868894601542416,0.00874035989717224,3.8934084882427857,0.0488431876606684,2.050252342212959,0.18638657656481436,0.7455463062592567,1.9674138637397072,33.6,30.0142857142857,28.5,80.1428571428571,7.778571428571429,16.4842857142857,13.4714285714286,24.3320162831176,1004.11428571429,4.87142857142857
2014-07-20,7,2014,29,0.00155925155925156,0.0717255717255717,0.0171517671517672,3.6654597723300038,0.0524948024948025,1.537807835517758,0.23172446836568994,0.7162392658575879,2.127651936812243,33.8,29.3,28.8,81.5714285714286,13.4928571428571,19.3457142857143,24.757142857142895,23.7939068164389,1007.32857142857,4.91428571428571
2014-07-27,7,2014,30,0.0,0.0596064814814815,0.0104166666666667,2.189357369980106,0.0480324074074074,1.7551046684964482,0.05428158768545708,0.5970974645400275,1.50179059263098,33.5,29.3857142857143,29.2,81.4285714285714,11.628571428571401,17.5428571428571,21.8714285714286,23.869725850462604,1004.64285714286,4.84285714285714
2014-08-03,8,2014,31,0.0005851375073142191,0.056173200702165,0.0169689877121123,1.684754407851883,0.0479812755997659,0.9760878712157746,0.013371066728983211,0.3342766682245786,1.096427471776622,34.6,30.0,28.7,77.8571428571429,7.98571428571429,24.344285714285697,13.957142857142902,23.6252649471669,1003.42857142857,6.385714285714291
